from_node,to_node
node49186153,internal_conductor152060
node504767111,span5538108
node505623811,span5598795
node524270611,span6705517
node505636204,span5601226
node505827136,span5637120
node27241240,span6140745
node115381741,internal_conductor153851
node505604944,span5595130
node503414513,span5481019
node504751801,span5535064
node505046129,span5590623
node49186087,internal_conductor152062
node504771519,span5603729
node505593849,span5592939
node505593919,span5592953
node25041158,simulated25041158_226352
node505593894,span5592948
node505046119,span5590621
node503418556,span5481809
node525205586,span6779650
node505046114,span5590620
node503418581,span5481814
node27276325,span5599290
node505827031,span5637099
node505604939,span5595129
node49186145,internal_conductor152074
node503414523,span5481021
node503444722,span5484407
node505593864,span5592942
node503414492,span5481014
link_switch10952,internal_conductor152055
node505593874,span5592944
node505827046,span5637102
node505593824,span5592934
link_switch10953,internal_conductor152078
node505593834,span5592936
recloser_site52262,span5601223
node504171110,span5525771
node505611465,span5596331
node503474371,span6856528
node505639636,span5601912
node505040460,span5589517
node504767136,span5538113
transformer6523,internal_conductor152080
substation_site221352,cable4459727
load_break_switch_site9914,span6620638
node503418571,span5481812
node504166625,span5524931
node505040370,span5589499
transformer3782,internal_conductor152075
disconnecting_link178030,span6546421
node507865696,span5821044
node505604964,span5595134
node503450399,span5821059
node276125679,simulated276125679_276125688
node505040385,span5589502
substation_site223975,span6877057
node503386172,span5475755
node505593924,span5592954
node505040430,span5589511
node505623816,span5598796
node24961462,internal_conductor152064
node504751781,span5535060
node505040435,span5589512
node505040400,span5589505
node518200174,span6371030
node505639641,span5601913
node518200169,span6371029
substation_site227742,simulated129294914_227742
node503414528,span5637098
node505827121,span5637117
node505040470,span5601914
node503418566,span5481811
node507865711,span5821047
node505046124,span5590622
node505827036,span5637100
node518200209,span6371037
node54247524,span5600587
substation_site212347,simulated54247360_212347
node505040450,span5589515
substation_site217998,cable4761420
span5592931,node505593804
span6371035,node518200204
span5821039,node507865666
span6546423,node520728204
internal_conductor152058,transformer3782
span5480065,node503409394
span5481016,node503414503
span5583022,node505007190
span5592957,node505593934
span5649030,node505889316
cable4184089,service_point2994897
span6620636,node523278230
span5601224,node505636199
span5538117,node54247073
span5637116,node505827121
span5639712,node505840363
span6546412,node520728144
span5595135,substation_site230954
cable4459791,service_point709677
span5592956,node505593929
span5595132,node505604959
simulated49186132_49186138,node49186138
simulated27245877_213766,substation_site213766
simulated25165170_231934,substation_site231934
span5589496,node505040360
internal_conductor152071,cable_switch30254
span5821046,node507865701
span6546415,node520728159
span5538109,node504767121
span5603728,node505648951
span6371032,node518200189
span5592928,node505046134
cable1267300,node49186132
span6371033,node518200194
span5602324,node505641719
internal_conductor152067,node49186087
span5525772,node504171110
span5592937,node505593834
span5589508,node505040420
span6705515,substation_site339874
cable4459721,service_point3064776
span5535062,node504751786
simulated24961487_276086967,node276086967
internal_conductor152056,link_switch10952
span5821038,node507865661
span6729586,service_point2990978
span6877055,node526258127
span5486023,node503474372
span5592940,node505593849
span6371031,node518200184
span5821040,node507865671
span6620635,node523278225
span5637121,node503405090
span5937651,node510060262
internal_conductor152066,transformer6522
span5821034,node505040349
span5637114,node505827111
span5821051,node507865726
span6371039,node27241240
internal_conductor152079,link_switch10953
span5821049,node507865716
